what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.traceview,21.0.1.v201212060256-543035,"com.android.ide.eclipse.traceview",1359613157708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359613160471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359613178274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359613179842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359613181843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359613183699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359613185173
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359613185419
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1359613186203
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1359613186234
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1359613186531
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1359613186532
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1359613186532
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1359613186532
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1359613186532
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1359613186574
